Kicker Pass_Power VelMod VelX VelY PosX PosY
0 600 363.91416416662 -195.84698486328 -306.72052001953 105.6524810791 -283.27166748047
0 600 341.78896898778 -183.76181030273 -288.18621826172 103.51107025146 -286.64068603516
0 600 426.7003346656 -230.22087097168 -359.26525878906 94.031295776367 -301.41525268555
0 600 426.7003346656 -230.22087097168 -359.26525878906 94.031295776367 -301.41525268555
0 600 462.14117058416 -249.40815734863 -389.06301879883 90.215660095215 -307.36401367188
0 600 449.67952420742 -242.99006652832 -378.37481689453 87.139762878418 -312.13595581055
0 600 415.42672516546 -224.07307434082 -349.81512451172 84.635398864746 -316.07052612305
0 600 375.75024750199 -203.08787536621 -316.13851928711 82.463684082031 -319.42535400391
0 600 276.58010423658 -149.24844360352 -232.85501098633 75.856094360352 -329.88671875
0 600 215.21418504888 -116.95286560059 -180.66314697266 74.205207824707 -332.35089111328
0 600 241.93447096896 -130.08905029297 -203.98315429688 70.845748901367 -337.65853881836
1 599 208.01492919765 115.4423828125 173.04122924805 85.180862426758 -317.02825927734
1 599 224.81532124565 125.42781829834 186.57382202148 89.014358520508 -311.32095336914
1 599 354.17605784645 198.36851501465 293.41201782227 93.522720336914 -304.67935180664
1 599 493.77236252946 276.00186157227 409.43145751953 102.49797058105 -291.36541748047
1 599 514.8350258383 287.09448242188 427.3544921875 106.60929107666 -285.20947265625
1 599 701.99790728732 391.24884033203 582.85968017578 118.93530273438 -266.83551025391
1 599 701.99790728732 391.24884033203 582.85968017578 118.93530273438 -266.83551025391
1 599 715.42824467674 399.65292358398 593.39288330078 124.47872161865 -258.65447998047
1 599 760.12982016569 425.10186767578 630.14739990234 130.79690551758 -249.31355285645
1 599 726.73766486098 406.28604125977 602.56060791016 135.73335266113 -241.98417663574
1 599 661.64550455151 368.78228759766 549.33996582031 139.69232177734 -236.01928710938
1 599 667.58334238124 371.576171875 554.61578369141 144.7180480957 -228.48962402344
1 599 630.66347517194 350.55346679688 524.26013183594 148.85501098633 -222.27499389648
1 599 530.05337992412 295.95629882813 439.73452758789 155.70048522949 -212.16096496582
1 599 490.5085153969 274.80169677734 406.30361938477 158.82406616211 -207.59762573242
1 599 531.34876135764 296.88665771484 440.66973876953 163.34677124023 -200.84408569336
1 599 530.72347024438 295.93975830078 440.55313110352 167.26844787598 -194.97302246094
1 599 581.35798415075 325.25216674805 481.85903930664 172.35398864746 -187.49296569824
1 599 577.10209267972 323.1208190918 478.16290283203 176.60781860352 -181.21188354492
1 599 597.16756607674 334.2099609375 494.88665771484 185.95172119141 -167.37319946289
1 599 597.16756607674 334.2099609375 494.88665771484 185.95172119141 -167.37319946289
1 599 590.67163078969 330.59591674805 489.48883056641 194.87854003906 -154.14723205566
1 599 606.32997095767 339.67327880859 502.25302124023 199.63941955566 -147.12442016602
1 599 524.84099585822 294.74307250977 434.26327514648 206.70515441895 -136.72911071777
1 599 472.82675818089 265.87243652344 390.99487304688 209.51254272461 -132.62124633789
1 599 457.50266059325 255.98202514648 379.1858215332 215.87858581543 -123.1330947876
1 599 514.26141460681 287.2555847168 426.55484008789 220.50761413574 -116.23553466797
1 599 576.78031878517 322.39791870117 478.26260375977 225.70405578613 -108.53769683838
1 599 568.46971059895 317.72640991211 471.38916015625 229.82104492188 -102.42811584473
1 599 525.84795339282 293.83517456055 436.09283447266 233.1284942627 -97.515274047852
1 599 473.65968289481 265.04119873047 392.56420898438 235.9267578125 -93.393127441406
1 599 483.52028421698 271.08117675781 400.38339233398 239.69548034668 -87.854919433594
1 599 463.95373153509 260.50296020508 383.91571044922 242.89860534668 -83.156753540039
1 599 432.17556511692 242.52214050293 357.71319580078 245.67288208008 -79.056648254395
1 599 398.72664119778 223.61958312988 330.11697387695 248.17155456543 -75.36009979248
1 599 429.52493826796 240.99819946289 355.54400634766 251.82885742188 -69.969924926758
1 599 428.33688501484 240.60287475586 354.37655639648 255.0267791748 -65.274726867676
1 599 413.34361856894 232.20016479492 341.95910644531 257.90814208984 -61.032501220703
1 599 506.49550694468 285.71600341797 418.21533203125 263.08486938477 -53.508148193359
1 599 498.99455810361 290.25765991211 405.88922119141 270.99969482422 -42.664253234863
1 599 460.4995383655 270.83926391602 372.43243408203 274.11480712891 -38.553226470947
1 599 476.0361847695 274.84527587891 388.67791748047 277.88177490234 -32.955821990967
1 599 443.79352927986 267.70642089844 353.95758056641 284.70843505859 -24.028316497803
